"","Indnum","Group","Activity","Units","Consumption","Quality_of_Life_Importance__1_10","solar_powered_water_heater","gas_water_heater","electric_water_heater_peak_hour","electric_water_heater_off_peak","gas","natural_gas","hybrid","electric_peak_hours","electric_off_peak_hours","jetfuel","TCF","TrQL"
"1",1,1,"Household heating => 70F","hours",2,88,0,0,0,0,0,0.000436,0,0,0,0,0.000436,176
"2",1,1,"Household heating < 70F","hours",10,85,0,0,0,0,0,0.000872,0,0,0,0,0.000872,850
"3",1,1,"Use of heat pump","hours",0,50,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,1,"Use of air conditioner","hours",20,45,0,0,0,0,0,0,0,0,0,0,0,900
"5",1,2,"shower - short","count",5,98,0,0,0,0,0,0,0,0,0,0,0,490
"6",1,2,"shower - long (> 3 min)","count",30,74,0,0,0,0,0,0,0,0,0,0,0,2220
"7",1,2,"bath","count",0,14,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,2,"wash-up","count",44,27,0,4.2e-05,0,0,0,0,0,0,0,0,4.2e-05,1188
"9",1,3,"use of dishwasher","count",0,20,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,3,"use of clothes washer","count",2,28,0,0,0,0,0,0,0,0,0,0,0,56
"11",1,3,"use of clothes dryer","count",3,11,0,0,0,0,0,0,0,0,0,0,0,33
"12",1,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1,3,"use of  oven","count",9,35,0,0,0,0,0,0,0,0,0,0,0,315
"14",1,3,"use of self-clean feature of electric oven","count",3,15,0,0,0,0,0,0,0,0,0,0,0,45
"15",1,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1,4,"TV/computer use","count",64,23,0,0,0,0,0,0,0,0,0,0,0,1472
"17",1,5,"air travel - large plane","miles",2747,42,0,0,0,0,0,0,0,0,0,0,0,115374
"18",1,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1,5,"car trips- self only","miles",443,44,0,0,0,0,0.000551,0,0,0,0,0,0.000551,19492
"20",1,5,"car trips - driver and self","miles",38,27,0,0,0,0,0.000554,0,0,0,0,0,0.000554,1026
"21",1,5,"car trips - 2+ people with multiple end points","miles",10,0,0,0,0,0,0.000354,0,0,0,0,0,0.000354,0
"22",1,5,"trips using public ground transportation","bags",15,49,0,0,0,0,0,0,0,0,0,0,0,735
"23",1,6,"bags of garbage disposed","bags",26,41,0,0,0,0,0,0,0,0,0,0,0,1066
"24",1,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",1,6,"bags of compost deposited (negative CF)","bags",3,6,0,0,0,0,0,0,0,0,0,0,0,18
"26",1,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,6,"large items disposed","items",2,15,0,0,0,0,0,0,0,0,0,0,0,30
"28",2,1,"Household heating => 70F","count",7,77,0,0,0,0,0,0.000436,0,0,0,0,0.000436,539
"29",2,1,"Household heating < 70F","count",2,61,0,0,0,0,0,0.000872,0,0,0,0,0.000872,122
"30",2,1,"Use of heat pump","count",0,55,0,0,0,0,0,0,0,0,0,0,0,0
"31",2,1,"Use of air conditioner","count",15,57,0,0,0,0,0,0,0,0,0,0,0,855
"32",2,2,"shower - short","count",7,85,0,0,0,0,0,0,0,0,0,0,0,595
"33",2,2,"shower - long (> 3 min)","count",13,74,0,0,0,0,0,0,0,0,0,0,0,962
"34",2,2,"bath","count",0,15,0,0,0,0,0,0,0,0,0,0,0,0
"35",2,2,"wash-up","count",44,34,4e-06,0,0,0,0,0,0,0,0,0,4e-06,1496
"36",2,3,"use of dishwasher","count",0,20,0,0,0,0,0,0,0,0,0,0,0,0
"37",2,3,"use of clothes washer","count",8,35,0,0,0,0,0,0,0,0,0,0,0,280
"38",2,3,"use of clothes dryer","count",4,13,0,0,0,0,0,0,0,0,0.000122,0,0.000122,52
"39",2,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0.000135,0,0.000135,0
"40",2,3,"use of  oven","count",8,37,0,0,0,0,0,0,0,0,0.00015,0,0.00015,296
"41",2,3,"use of self-clean feature of electric oven","count",3,16,0,0,0,0,0,0,0,0,0,0,0,48
"42",2,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",2,4,"TV/computer use","count",63,26,0,0,0,0,0,0,0,0,0,0,0,1638
"44",2,5,"air travel - large plane","miles",2524,47,0,0,0,0,0,0,0,0,0,0.000179,0.000179,118628
"45",2,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",2,5,"car trips- self only","miles",273,43,0,0,0,0,0.000551,0,0,0,0,0,0.000551,11739
"47",2,5,"car trips - driver and self","miles",19,30,0,0,0,0,0.000554,0,0,0,0,0,0.000554,570
"48",2,5,"car trips - 2+ people with multiple end points","miles",17,0,0,0,0,0,0.000354,0,0,0,0,0,0.000354,0
"49",2,5,"trips using public ground transportation","bags",12,43,0,0,0,0,0,0,0,0,0,0,0,516
"50",2,6,"bags of garbage disposed","bags",17,49,0,0,0,0,0,0,0,0,0,0,0,833
"51",2,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",2,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",2,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
