Indnum,Group,Activity,Units,Consumption,Quality_of_Life_Importance__1_10,solar_powered__water_heater,gas_water_heater,electric_water_heater___peak_hou,electric_water_heater___off_peak,gas,natural_gas,hybrid,electric___peak_hours,electric___off_peak_hours,jetfuel
1,1,Household heating => 70F,hours,2,88,,,,,,1,,,,
1,1,Household heating < 70F,hours,10,85,1,1,,,,1,,,,
1,1,Use of heat pump,hours,,50,,,,,,,,,,
1,1,Use of air conditioner,hours,20,45,,,,,,,,,,
1,2,shower - short,count,5,98,,,,,,,,,,
1,2,shower - long (> 3 min),count,30,74,,,,,,,,,,
1,2,bath,count,,14,,,,,,,,,,
1,2,wash-up,count,44,27,,1,,,,,,,,
1,3,use of dishwasher,count,,20,,,,,,,,,,
1,3,use of clothes washer,count,2,28,,,,,,,,,,
1,3,use of clothes dryer,count,3,11,,,,,,,,,,
1,3,use of cooking range,count,,,,,,,,,,,,
1,3,use of  oven,count,9,35,,,,,,,,,,
1,3,use of self-clean feature of electric oven,count,3,15,,,,,,,,,,
1,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
1,4,TV/computer use,count,64,23,,,,,,,,,,
1,5,air travel - large plane,miles,2747,42,,,,,,,,,,
1,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
1,5,car trips- self only,miles,443,44,,,,,1,,,,,
1,5,car trips - driver and self,miles,38,27,,,,,1,,,,,
1,5,car trips - 2+ people with multiple end points,miles,10,,,,,,1,,,,,
1,5,trips using public ground transportation,bags,15,49,,,,,,,,,,
1,6,bags of garbage disposed,bags,26,41,,,,,,,,,,
1,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
1,6,bags of compost deposited (negative CF),bags,3,6,,,,,,,,,,
1,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
1,6,large items disposed,items,2,15,,,,,,,,,,
2,1,Household heating => 70F,count,7,77,,,,,,1,,,,
2,1,Household heating < 70F,count,2,61,,,,,,1,,,,
2,1,Use of heat pump,count,,55,,,,,,,,,,
2,1,Use of air conditioner,count,15,57,,,,,,,,,,
2,2,shower - short,count,7,85,,,,,,,,,,
2,2,shower - long (> 3 min),count,13,74,,,,,,,,,,
2,2,bath,count,,15,,,,,,,,,,
2,2,wash-up,count,44,34,1,,,,,,,,,
2,3,use of dishwasher,count,,20,,,,,,,,,,
2,3,use of clothes washer,count,8,35,,,,,,,,,,
2,3,use of clothes dryer,count,4,13,,,,1,,,,,1,
2,3,use of cooking range,count,,,,,,,,,,,1,
2,3,use of  oven,count,8,37,,,,,,,,,1,
2,3,use of self-clean feature of electric oven,count,3,16,,,,,,,,,,
2,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
2,4,TV/computer use,count,63,26,,,,,,,,,,
2,5,air travel - large plane,miles,2524,47,,,,,,,,,,1
2,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
2,5,car trips- self only,miles,273,43,,,,,1,,,,,
2,5,car trips - driver and self,miles,19,30,,,,,1,,,,,
2,5,car trips - 2+ people with multiple end points,miles,17,,,,,,1,,,,,
2,5,trips using public ground transportation,bags,12,43,,,,,,,,,,
2,6,bags of garbage disposed,bags,17,49,,,,,,,,,,
2,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
2,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
2,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
2,6,large items disposed,items,,14,,,,,,,,,,
3,1,Household heating => 70F,hours,3,64,,,,,,1,,,,
3,1,Household heating < 70F,hours,1,75,,,,,,1,,,,
3,1,Use of heat pump,hours,,42,,,,,,,,,,
3,1,Use of air conditioner,hours,16,52,,,,,,,,,,
3,2,shower - short,count,7,95,,,,,,,,,,
3,2,shower - long (> 3 min),count,40,85,1,,,,,,,,,
3,2,bath,count,,19,,,,,,,,,,
3,2,wash-up,count,45,27,1,1,,,,,,,,
3,3,use of dishwasher,count,,25,,,,,,,,,,
3,3,use of clothes washer,count,5,44,,,,,1,,,,,
3,3,use of clothes dryer,count,3,12,,,,,,,,,,
3,3,use of cooking range,count,,,,,1,,,,,,,
3,3,use of  oven,count,10,37,,1,,1,,,,,,
3,3,use of self-clean feature of electric oven,count,4,19,,,,,,,,,,
3,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
3,4,TV/computer use,count,64,27,,,,,,,,,,
3,5,air travel - large plane,miles,2653,42,,,,,,,,,,
3,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,1
3,5,car trips- self only,miles,260,60,,,,,1,,,,,
3,5,car trips - driver and self,miles,35,19,,,,,1,,,,,
3,5,car trips - 2+ people with multiple end points,miles,23,,,,,,1,,,,,
3,5,trips using public ground transportation,bags,13,44,,,,,,,,,,
3,6,bags of garbage disposed,bags,22,49,,,,,,,,,,
3,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
3,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
3,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
3,6,large items disposed,items,,20,,,,,,,,,,
4,1,Household heating => 70F,count,10,93,,,,,,1,,,,
4,1,Household heating < 70F,count,4,73,,,,,,1,,,,
4,1,Use of heat pump,count,,48,,,,,,,,,,
4,1,Use of air conditioner,count,18,47,,,,,,,,,,
4,2,shower - short,count,5,90,,,,,,,,,,
4,2,shower - long (> 3 min),count,12,84,,,,,,,,,,
4,2,bath,count,,20,,,,,,,,,,
4,2,wash-up,count,35,36,,1,,,,,,,,
4,3,use of dishwasher,count,,25,,,,,,,,,,
4,3,use of clothes washer,count,6,41,,,,,,,,,,
4,3,use of clothes dryer,count,2,14,,,,,,,,,1,
4,3,use of cooking range,count,,,,,,,,,,,1,
4,3,use of  oven,count,11,33,,,,1,,,,,1,
4,3,use of self-clean feature of electric oven,count,3,18,,,,,,,,,,
4,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
4,4,TV/computer use,count,59,25,,,,,,,,,,
4,5,air travel - large plane,miles,3419,44,,,,,,,,,,
4,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
4,5,car trips- self only,miles,336,58,,,,,1,,,,,
4,5,car trips - driver and self,miles,28,28,,,,,1,,,,,
4,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
4,5,trips using public ground transportation,bags,12,42,,,,,,,,,,
4,6,bags of garbage disposed,bags,27,41,,,,,,,,,,
4,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
4,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
4,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
4,6,large items disposed,items,,17,,,,,,,,,,
5,1,Household heating => 70F,hours,8,80,,,,,,1,,,,
5,1,Household heating < 70F,hours,10,77,,1,,,,1,,,,
5,1,Use of heat pump,hours,,43,,,,,,,,,,
5,1,Use of air conditioner,hours,14,53,,,1,,,,,,,
5,2,shower - short,count,7,84,,,,,,,,,,
5,2,shower - long (> 3 min),count,10,72,,,,,,,,,,
5,2,bath,count,,10,,,,,,,,,,
5,2,wash-up,count,45,28,,,,,,,,,,
5,3,use of dishwasher,count,,20,,,,,,,,,,
5,3,use of clothes washer,count,7,41,1,,,,,,,1,,
5,3,use of clothes dryer,count,1,21,1,,,,,,,,,
5,3,use of cooking range,count,,,,,,,,,,,,
5,3,use of  oven,count,12,32,,,,,,,,,,
5,3,use of self-clean feature of electric oven,count,2,16,,,,,,,,,,
5,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
5,4,TV/computer use,count,64,29,,,,,,,,,,
5,5,air travel - large plane,miles,3113,46,,,,,,,,,,1
5,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,1
5,5,car trips- self only,miles,388,50,,,,,1,,,,,
5,5,car trips - driver and self,miles,15,27,,,,,1,,,,,
5,5,car trips - 2+ people with multiple end points,miles,15,,,,,,1,,,,,
5,5,trips using public ground transportation,bags,19,45,,,,,,,,,,
5,6,bags of garbage disposed,bags,17,48,,,,,,,,,,
5,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
5,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
5,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
5,6,large items disposed,items,2,12,,,,,,,,,,
6,1,Household heating => 70F,count,6,63,,,,1,,1,,,,
6,1,Household heating < 70F,count,3,75,,,,,,1,,,,
6,1,Use of heat pump,count,,52,1,,,,,,,,,
6,1,Use of air conditioner,count,14,44,,,,,,,,,,
6,2,shower - short,count,8,97,,,,,,,,1,,
6,2,shower - long (> 3 min),count,26,80,,,,,,,,,,
6,2,bath,count,,18,,,,,,,,,,
6,2,wash-up,count,32,35,,,,,,,,,,
6,3,use of dishwasher,count,10,22,,,,,,,,,,
6,3,use of clothes washer,count,4,31,,,,,,,,,,
6,3,use of clothes dryer,count,2,20,,,,,,,,1,1,
6,3,use of cooking range,count,,,1,,,,,,,,1,
6,3,use of  oven,count,11,33,1,,,,,,,,1,
6,3,use of self-clean feature of electric oven,count,3,12,,,,,,,,,,
6,3,Small kitchen appliance in the home,count,59,,,,,,,,,,,
6,4,TV/computer use,count,59,30,,,,,,,,,,
6,5,air travel - large plane,miles,2021,47,,,,,,,,,,
6,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
6,5,car trips- self only,miles,267,45,,,,,1,,,,,
6,5,car trips - driver and self,miles,21,34,,,,,1,,,,,
6,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
6,5,trips using public ground transportation,bags,14,51,,,,,,,,,,
6,6,bags of garbage disposed,bags,22,47,,,,,,,,,,
6,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
6,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
6,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
6,6,large items disposed,items,1,17,,,,,,,,,,
7,1,Household heating => 70F,hours,5,85,1,,,,,1,,,,
7,1,Household heating < 70F,hours,1,72,,,,,,1,,,,
7,1,Use of heat pump,hours,,44,,,,,,,,,,
7,1,Use of air conditioner,hours,20,46,,1,,,,,,,,
7,2,shower - short,count,3,86,,,,,,,,,,
7,2,shower - long (> 3 min),count,23,80,,,,,,,,,,
7,2,bath,count,,21,,,,,,,,,,
7,2,wash-up,count,37,44,1,1,,,,,,,,
7,3,use of dishwasher,count,,24,,,,1,,,,,,
7,3,use of clothes washer,count,5,38,,1,,,,,,,,
7,3,use of clothes dryer,count,4,17,,,,,,,,,,
7,3,use of cooking range,count,16,,,,,,,,,,,
7,3,use of  oven,count,9,38,,,,,,,,,,
7,3,use of self-clean feature of electric oven,count,1,17,1,,,,,,,,,
7,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
7,4,TV/computer use,count,63,29,,,,,,,,,,
7,5,air travel - large plane,miles,3016,45,,,,,,,,,,
7,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,1
7,5,car trips- self only,miles,288,57,,,,,1,,,,,
7,5,car trips - driver and self,miles,39,22,,,,,1,,,,,
7,5,car trips - 2+ people with multiple end points,miles,11,,,,,,1,,,,,
7,5,trips using public ground transportation,bags,12,48,,,,,,,,,,
7,6,bags of garbage disposed,bags,18,41,,,,,,,,,,
7,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
7,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
7,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
7,6,large items disposed,items,,19,,,,,,,,,,
8,1,Household heating => 70F,count,4,79,,,1,,,1,,,,
8,1,Household heating < 70F,count,6,71,,,,,,1,,,,
8,1,Use of heat pump,count,,40,,,,,,,,,,
8,1,Use of air conditioner,count,15,52,,,,,,,,,,
8,2,shower - short,count,5,87,,,,,,,,,,
8,2,shower - long (> 3 min),count,15,82,,,,,,,,,,
8,2,bath,count,,10,,,,,,,,,,
8,2,wash-up,count,49,32,,,,,,,,,,
8,3,use of dishwasher,count,,20,,,,,,,,,,
8,3,use of clothes washer,count,5,29,,,,,,,,,,
8,3,use of clothes dryer,count,4,12,,,,,,,,,1,
8,3,use of cooking range,count,,,,,,,,,,,1,
8,3,use of  oven,count,10,36,,,,,,,1,,1,
8,3,use of self-clean feature of electric oven,count,1,11,,,,,,,,,,
8,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
8,4,TV/computer use,count,60,28,,,,1,,,,,,
8,5,air travel - large plane,miles,2895,46,,,,,,,,,,
8,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
8,5,car trips- self only,miles,359,61,,,,,1,,,,,
8,5,car trips - driver and self,miles,38,39,,,,,1,,,,,
8,5,car trips - 2+ people with multiple end points,miles,10,,,,,,1,,,,,
8,5,trips using public ground transportation,bags,14,44,,,,,,,,,,
8,6,bags of garbage disposed,bags,20,49,,,,,,,,,,
8,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
8,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
8,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
8,6,large items disposed,items,2,17,,,,,,,,,,
9,1,Household heating => 70F,hours,4,61,,,,,,1,,,,
9,1,Household heating < 70F,hours,6,89,1,,,1,,1,,1,,
9,1,Use of heat pump,hours,,55,,,,,,,,,,
9,1,Use of air conditioner,hours,20,50,,,,1,,,,,,
9,2,shower - short,count,2,95,,,,,,,,,,
9,2,shower - long (> 3 min),count,35,87,,,,,,,,,,
9,2,bath,count,,17,,,,,,,,,,
9,2,wash-up,count,52,32,,,,,,,,,,
9,3,use of dishwasher,count,,22,,,,,,,1,,,
9,3,use of clothes washer,count,7,34,,,,,,,,,,
9,3,use of clothes dryer,count,2,12,,,,,,,,,,
9,3,use of cooking range,count,,,,,,,,,,,,
9,3,use of  oven,count,8,39,,,,,,,,,,
9,3,use of self-clean feature of electric oven,count,4,19,,,,,,,,,,
9,3,Small kitchen appliance in the home,count,,,,,,1,,,,,,
9,4,TV/computer use,count,64,27,,,,,,,,,,
9,5,air travel - large plane,miles,3406,44,,,,,,,,,,
9,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
9,5,car trips- self only,miles,311,44,,,,,1,,,,,
9,5,car trips - driver and self,miles,24,27,,,,,1,,,,,
9,5,car trips - 2+ people with multiple end points,miles,20,,,,,,1,,,,,
9,5,trips using public ground transportation,bags,19,56,,,,,,,,,,
9,6,bags of garbage disposed,bags,23,43,,,,,,,,,,
9,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
9,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
9,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
9,6,large items disposed,items,1,20,,,,,,,,,,
10,1,Household heating => 70F,count,6,67,,,1,,,1,,,,
10,1,Household heating < 70F,count,10,93,,,,,,1,,,,
10,1,Use of heat pump,count,,42,,,,,,,,,,
10,1,Use of air conditioner,count,31,44,,,,,,,,,,
10,2,shower - short,count,4,91,,1,,,,,,,,
10,2,shower - long (> 3 min),count,19,90,,,,1,,,,,,
10,2,bath,count,,21,1,,,,,,1,,,
10,2,wash-up,count,48,31,,,,,,,,,,
10,3,use of dishwasher,count,,20,,,,,,,,,,
10,3,use of clothes washer,count,4,33,,,,,,,,,,
10,3,use of clothes dryer,count,4,13,,1,,,,,,,1,
10,3,use of cooking range,count,,,,,,,,,,,1,
10,3,use of  oven,count,8,36,,,,,,,,,1,
10,3,use of self-clean feature of electric oven,count,1,16,,,,,,,,,,
10,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
10,4,TV/computer use,count,58,26,,,,,,,,,,
10,5,air travel - large plane,miles,2949,48,,,,,,,,,,1
10,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
10,5,car trips- self only,miles,354,51,,,,,1,,,,,
10,5,car trips - driver and self,miles,20,22,,,,,1,,,,,
10,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
10,5,trips using public ground transportation,bags,14,53,,,,,,,,,,
10,6,bags of garbage disposed,bags,28,49,,,,,,,,,,
10,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
10,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
10,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
10,6,large items disposed,items,,16,,,,,,,,,,
11,1,Household heating => 70F,hours,8,78,,,,,,1,,,,
11,1,Household heating < 70F,hours,6,85,1,,,1,,1,,,,
11,1,Use of heat pump,hours,,55,,,,,,,,,,
11,1,Use of air conditioner,hours,28,49,,,,,,,,,,
11,2,shower - short,count,2,98,,,,,,,,,,
11,2,shower - long (> 3 min),count,37,77,,,,1,,,,,,
11,2,bath,count,,20,,,,,,,,,,
11,2,wash-up,count,40,31,,,,,,,,,,
11,3,use of dishwasher,count,,19,,,,,,,,,,
11,3,use of clothes washer,count,2,36,,,,,,,,,,
11,3,use of clothes dryer,count,4,14,,,,,,,,,,
11,3,use of cooking range,count,,,,,,,,,,,,
11,3,use of  oven,count,9,40,,,,,,,,,,
11,3,use of self-clean feature of electric oven,count,4,21,,,,,,,,,,
11,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
11,4,TV/computer use,count,64,30,,,,,,,,1,,
11,5,air travel - large plane,miles,2918,49,,,,,,,,,,
11,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
11,5,car trips- self only,miles,463,48,,,,,1,,,,,
11,5,car trips - driver and self,miles,16,40,,,,,1,,,,,
11,5,car trips - 2+ people with multiple end points,miles,12,,,,,,1,,,,,
11,5,trips using public ground transportation,bags,12,45,,,,,,,,,,
11,6,bags of garbage disposed,bags,25,41,,,,,,,,,,
11,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
11,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
11,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
11,6,large items disposed,items,,17,,,,,,,,,,
12,1,Household heating => 70F,count,3,84,,,,,,1,,,,
12,1,Household heating < 70F,count,9,72,,,,,,1,,,,
12,1,Use of heat pump,count,,40,,1,,,,,,,,
12,1,Use of air conditioner,count,26,43,,1,,,,,,,,
12,2,shower - short,count,6,98,,,1,,,,,,,
12,2,shower - long (> 3 min),count,20,76,,,,,,,,,,
12,2,bath,count,,13,,,,1,,,,,,
12,2,wash-up,count,49,33,,,,,,,,,,
12,3,use of dishwasher,count,,23,,,,,,,,,,
12,3,use of clothes washer,count,8,28,,,,,,,,,,
12,3,use of clothes dryer,count,2,18,1,,1,,,,,,1,
12,3,use of cooking range,count,,,,,,,,,,,1,
12,3,use of  oven,count,10,36,,,,,,,,,1,
12,3,use of self-clean feature of electric oven,count,2,15,1,1,,,,,,,,
12,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
12,4,TV/computer use,count,61,31,,,,,,,,,,
12,5,air travel - large plane,miles,3084,51,,,,,,,,,,
12,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
12,5,car trips- self only,miles,430,50,,,,,1,,,,,
12,5,car trips - driver and self,miles,19,20,,,,,1,,,,,
12,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
12,5,trips using public ground transportation,bags,12,44,,,,,,,,,,
12,6,bags of garbage disposed,bags,21,43,,,,,,,,,,
12,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
12,6,bags of compost deposited (negative CF),bags,2,4,,,,,,,,,,
12,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
12,6,large items disposed,items,,12,,,,,,,,,,
13,1,Household heating => 70F,hours,1,80,,,,,,1,1,,,
13,1,Household heating < 70F,hours,9,73,,,,,,1,,,,
13,1,Use of heat pump,hours,,44,,,,,,,,,,
13,1,Use of air conditioner,hours,22,39,,,,,,,,,,
13,2,shower - short,count,2,86,,,,,,,,,,
13,2,shower - long (> 3 min),count,11,81,,,,,,,,,,
13,2,bath,count,,15,,,,,,,,,,
13,2,wash-up,count,34,44,,,,,,,,,,
13,3,use of dishwasher,count,,20,,,,,,,1,,,
13,3,use of clothes washer,count,4,47,,,,,,,,,,
13,3,use of clothes dryer,count,4,13,,,,,,,,,,
13,3,use of cooking range,count,,,,,,,,,,,,
13,3,use of  oven,count,11,34,,,,,,,,,,
13,3,use of self-clean feature of electric oven,count,3,16,,,,,,,,,,
13,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
13,4,TV/computer use,count,63,29,,,,,,,,,,
13,5,air travel - large plane,miles,3034,42,,,,,,,,,,
13,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
13,5,car trips- self only,miles,270,49,,,,,1,,,,,
13,5,car trips - driver and self,miles,20,21,,,,,1,,,,,
13,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
13,5,trips using public ground transportation,bags,14,43,,,,,,,,,,
13,6,bags of garbage disposed,bags,17,50,,,,,,,,,,
