"","Indnum","Activity","solar_powered_water_heater","gas_water_heater","electric_water_heater_peak_hour","electric_water_heater_off_peak","gas","natural_gas","hybrid","electric_peak_hours","electric_off_peak_hours","jetfuel"
"1",1,"Household heating => 70F",0,0,0,0,0,1,0,0,0,0
"2",1,"Household heating < 70F",1,1,0,0,0,1,0,0,0,0
"3",1,"Use of heat pump",0,0,0,0,0,0,0,0,0,0
"4",1,"Use of air conditioner",0,0,0,0,0,0,0,0,0,0
"5",1,"shower - short",0,0,0,0,0,0,0,0,0,0
"6",1,"shower - long (> 3 min)",0,0,0,0,0,0,0,0,0,0
"7",1,"bath",0,0,0,0,0,0,0,0,0,0
"8",1,"wash-up",0,1,0,0,0,0,0,0,0,0
"9",1,"use of dishwasher",0,0,0,0,0,0,0,0,0,0
"10",1,"use of clothes washer",0,0,0,0,0,0,0,0,0,0
"11",1,"use of clothes dryer",0,0,0,0,0,0,0,0,0,0
"12",1,"use of cooking range",0,0,0,0,0,0,0,0,0,0
"13",1,"use of  oven",0,0,0,0,0,0,0,0,0,0
"14",1,"use of self-clean feature of electric oven",0,0,0,0,0,0,0,0,0,0
"15",1,"Small kitchen appliance in the home",0,0,0,0,0,0,0,0,0,0
"16",1,"TV/computer use",0,0,0,0,0,0,0,0,0,0
"17",1,"air travel - large plane",0,0,0,0,0,0,0,0,0,0
"18",1,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,0
"19",1,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"20",1,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"21",1,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"22",1,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"23",1,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"24",1,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"25",1,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"26",1,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"27",1,"large items disposed",0,0,0,0,0,0,0,0,0,0
"28",2,"Household heating => 70F",0,0,0,0,0,1,0,0,0,0
"29",2,"Household heating < 70F",0,0,0,0,0,1,0,0,0,0
